name,reviews.rating,reviews
AmazonBasics AAA Performance Alkaline Batteries (36 Count),4,"AmazonBasics batteries are quite good in terms of capacity -- pretty much tied for the top spot compared to the other 6 brands I've tested, but other brands have the edge in capacity per dollar. When I computed value by dividing capacity by the cost per battery of the cheapest package size, they took a respectable third place, and they have the advantage of being a trusted name compared to the value leader. In the images I have attached a graph and a table summarizing my test results for the 7 types I've tested, but if you'd like to know more about how I test ... on to the in-dept test review.I've been on a bit of a quest to test all of the top-selling aaa batteries on Amazon in a repeatable, precise way. This means the same equipment, same environmental conditions, and same slots in the equipment will be used for each test. For each test, I fully discharge 3 batteries in my Opus BT-C2000 battery analyzer at rates of 100 ma, 200 ma, and 400 ma (discharge rate affects usable capacity). I have also performed this exact same test (same equipment, same conditions) on the ACDelco, Duracell Procell, Duracell Coppertop, Energizer MAX, Maxell, and Rayovac. I have linked the other brands I've reviewed at the end of this review if you'd like to take a look at the other results for comparison purposes. For the Amazon Basics batteries, the capacity at each discharge rate was:Disch Rt Capacity Runtime Sample use case100 mA 997 mAh 10 hrs Low-power LED flashlight200 mA 914 mAh 4.5 hrs Electronic toy / medium LED flashlight400 mA 623 mAh 1.5 hrs Motorized toy / bright LED flashlightNote that these (and all other Alkalines) would achieve somewhat higher capacity (maybe 1200 mAh) in a low discharge application like a mouse, keyboard, remote control, etc because alkaline batteries have internal resistance that reduces usable capacity at high discharge rates.The capacity of these batteries is among the best I've tested -- take a look at the attached data table for comparative data. For the cost (0.31/ea in a 36 pack right now), these are a decent but beatable value -- the power supplied per dollar spent is very good, but eclipsed by other currently available options.Comparison:These batteries do well capacity-wise, but value-wise are blown away by the currently cheapest energy/dollar battery that I've tested, the ACDelco aaa's. Their capacity results were:Disch Rt Capacity Runtime100 mA 1005 mAh 10 hrs200 mA 864 mAh 4.3 hrs400 mA 670 mAh 1.7 hrsAs you can see, the Amazon batteries were very comperable ... but, at the current time the AmazonBasics batteries are 0.31/ea (36 pack), while the ACDelco batteries are about 0.21/ea (48 pack) -- so the ACDelco are significantly cheaper per mAh. I did not test shelf life, so it's possible that these may hold up better sitting in a drawer. Although both the Amazon batteries and the ACDelco batteries are certainly made on contract by a third party, I do think that I trust Amazon a bit more to provide consistent batteries than ACDelco ... although I haven't had any trouble with my ACDelco batteries so far. It's also worth noting that the Amazon batteries come in clearly superior packaging - while the ACDelco batteries come in a horrible gigantic plastic blister pack, the Amazon batteries come in a closable cardboard box. If you don't go through a lot of batteries organization of your battery drawer is important to you, that could push them into the all-around winner category despite the 50 price premium.Finally, because another review specifically mentions the Rayovac AA's as being 'good' in some usage scenarios, I thought I'd share my findings for the Rayovac AAA's. In short, they're garbage - the Amazon batteries are better in EVERY case. It's possible that the Rayovac AA's are much better than the AAA's, but I think it's more likely that the version of the Rayovacs tested by the website that he got his results from is different than the most popular Rayovac on Amazon (I source all of my batteries from Amazon). I ran the Rayovac test several times because I couldn't believe how poorly they did ... here are some typical Rayovac results:Disch Rt Capacity Runtime100 mA 908 mAh 9 hrs200 mA 590 mAh 2.9 hrs400 mA 443 mAh 1.1 hrsMy other battery tests/reviews:I have posted reviews for Duracell Coppertop, Duracell Procell and ACDelco aaa alkaline batteries with capacity data gathered using the exact same method and equipment. To find those reviews for comparison purposes, go to the product pages linked below and search for 'mah' under 'all reviews' (or just browse to them on my profile). If/when I do additional aaa tests/reviews in the future, I will update this list.ACDelco AAA Super Alkaline BatteriesDuracell AAA Batteries Coppertop MN2400 - 20 PackDuracell Procell AAA Batteries PC2400BKD09Energizer MAX AAA BatteriesMaxell Alkaline Battery AAA CellRayovac Alkaline AAA Batteries"
AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,Battery storage life only lasted 8 months (stored indoors).
AmazonBasics AAA Performance Alkaline Batteries (36 Count),4,A good bang for your buck!! Almost everything now a days uses batteries.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,"If it's possible to have gotten a dud batch I sure got it. We BLEW through all these batteries in less than a month. My kids toys aren't that super powered and even in remotes I was having to change batteries way too often. For example the magic touch counting toy, the store batteries lasted 3 years. Popped in some Amazon batteries, 1 month and the second child didn't play with it nearly as much as the first. For the price it was worth the try but I'm going back to the other brands."
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,NICE PRODUCT
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Great basic batteries! Fantastic price. I like having a stockpile. When my kids get toys at Christmas I feel like Oprah. YOU get a battery! and YOU get a battery!...
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"Some day we will probably look back and chuckle about 'primitive' batteries like these. But not yet. They are an integral part of our daily lives. We need food, drink, shelter, love, and BATTERIES! You can't beat the price/quality combination."
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,A battery is a battery these work just as good if not better than the name brands like Duracell or Enginzer
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"I like to have a good stock of batteries in my home. I am a repeat purchaser of these and other sizes. So far no performance issues. Lasts like Duracell. They might consider improving the graphics though, not very exciting to look at."
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,These worked out great for his battery powered cars I got him. What a awesome deal.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"I used to buy batteries from Costco which come under Kirkland brand. I thought of testing Amazon Basics based on my experience of other Amazon Basics products in the past. These batteries are way better than Kirkland, Energizer and Duracell. The cost is nicely placed. Now my kids have more time to play with toys before the need to replace the batteries. A clear thumbs up!"
AmazonBasics AAA Performance Alkaline Batteries (36 Count),3,Sorry to say I've been disappointed with these. They didn't last as long in my remotes and RC transmitters as even other store brand alkaline batteries.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Got it and it's already in use.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Never purchased these before ... Work well so far
AmazonBasics AAA Performance Alkaline Batteries (36 Count),4,lasts just as long as duracell
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,I bought the smaller pack last time and didn't realize how quickly it runs out. Very happy with this amount of batteries.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Like that I can buy these online and in bulk. Have ordered them several times. A good buy
AmazonBasics AAA Performance Alkaline Batteries (36 Count),4,What can I say Thes batteries work as xpected.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),4,This large pack of batteries is a cheap alternative to buying other brand names and are particularly useful for gaming. The battery life is every bit as good as the brand name batteries as well. I use these batteries for frequent gaming to power my controller and headset.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Good deal for rechargeable. They all work and seem to preform well.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Good batteries at a good price
AmazonBasics AAA Performance Alkaline Batteries (36 Count),4,They seem to have some good staying power and are cheaper than most other brands. I highly recommend as this box lasts quite a few months with the kids mainly using these for xbox controllers.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,These batteries are a good value and work well. I have used them in the past and would recommend them to all.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,A friend advised me to buy my batteries from Amazon. Her family swears by them. I am now using them and agree they are a good buy for the money and I am not worried about running out of batteries or running out to have to buy them.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"Batteries are pretty much of a commodity as long as they do what they're supposed to do, so I ordered these based on their price -- much cheaper than what you can buy in a store. And these batteries seem to last as long as any of the name brands. A good value."
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,These Amazon batteries seem like a good value.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Everyone needs AA batteries. These are fine and a great price!
AmazonBasics AAA Performance Alkaline Batteries (36 Count),4,"so many batteries, so little money. A great deal"
AmazonBasics AAA Performance Alkaline Batteries (36 Count),4,Works great for everyday AA battery needs
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"I got tired of running back and forth to the local store to buy a small package of batteries therefore, I decided to order these since the cost for all of these batteries were approximately the same cost for 6 batteries in a pack. The price was right and the batteries are working very well. This is really a bargain."
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"Great buy for the money - these batteries work very well. I've gotten them in the past. The best part is that they are so inexpensive that you can run through them, and not feel like you're running through your bank account!"
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"A great deal, and the batteries have a good life to them. I will buy again when I start running low."
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"All I buy now is AmazonBasics when it comes to batteries. They are long lasting and a great price. I have tried the AA, AAA, and 9-volt. As a cheap shopper, I am pleased with their performance and price."
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"Between LeapPads, Xbox controllers and remotes, we use batteries a lot. These have held up great with a comparable lifespan to other household brands."
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,I buy all my batteries here. Great long lasting batteries.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"You know those crazy cheap batteries that are so light you practically hit yourself in the face when you pick one up These aren't those.I've already purchased a couple sets of these and have been really happy with the quality/lifespan. I'd say they're DEFINTELY comparable to the more expensive name brands. I've happily recommended them to friends and family, and it's so handy always having plenty of AA batteries, especially around birthdays and holidays!"
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,My PS3 remote control and my television remote controls work again thanks to these AAA batteries.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"As a teacher, I need tons of batteries, but I refused to spend excessive amounts on them, so I figured this was the best option! They are long-lasting, worth the money, cute (if that even matters, lol)! You won't find a deal like this in stores!I highly recommend!"
AmazonBasics AAA Performance Alkaline Batteries (36 Count),4,"Ive been buying these since they started selling them. The last batch, I had one that leaked. It was in a rather expensive candle, so a heads up for those using this battery to check once in a while. Ive never had this happen before. It turned all brown on one side and could have ruined my candle if I didnt clean it out real good. The battery was only week old, used infrequently in an air conditioned home. I will still continue to buy these."
AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,"I can only use these on those indoor flameless candles and even then, they dont last very long...a little disappointed..."
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"Lieutenant Dan got me these batteries. So then I got a call from him, saying we dont have to worry about batteries no more. And I said, thats good! One less thing. -Forrest"
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"A lot of batteries for the money. So far, all working well."
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Great Batteries
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,I happen to have remote controls in our house and this item certainly is a must in my living room.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"You know you need them, so why not get a bunch. I'm the battery guy for the kids toys, so I have to keep them on hand at all times!"
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"Worked exactly as they are supposed to, good price, good quality. lasting a nice long time, A good buy."
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"This is a great purchase. My outdoor cameras on my house them. Compared to the leading namebrands, I find these to last longer. I am getting four months per pair of batteries instead of three months with my surveillance cameras."
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"I've been buying AAA alkaline batteries in packages of four at the dollar store and thought I was getting a pretty good deal on the price, but it bothered me to have to throw away so much packaging every time I needed four batteries. Then I was checking out a fellow reviewer's profile and found a review of the AmazonBasics AAA batteries. He (or she, I can't remember) claimed these work as well or better than name brands and are even less expensive than the dollar store deals and with much less waste in the packaging.So I ordered some and his advice was right on the money. I've used them (so far) in small flashlights and in one of my TENS machines. Great performance. The price (which seems to fluctuate) is less than I was paying locally. Best of all, you get 36 batteries in a tiny cardboard box that measures 4 1/4 x 2 1/4 x 2 1/4. There are 9 sealed packages of 4 batteries each, but there's much less waste in the packaging. Amazon claims 10-year, no-leak shelf life for them, but even I use batteries faster than that.I think this is a great product at a great price and I love the packaging. Glad I stumbled onto them."
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"Thats a whole lot of batteries! I ordered the 48 pack of AA batteries and its so much cheaper than a much smaller branded pack from the big chain stores. They arrived packaged well and wrapped nicely, see included pictures for details. I like to keep extra batteries around because most new electronics do not have included batteries these days. I hate getting a device in the mail and scavenging the house for batteries or stealing them from the remote controls. At this price, we can all afford to keep a bunch on hand. Ive tested these on several devices so far and they appear to be comparable to brand name batteries, they last a long time and bring all my electronics to life with renewed vigor. I'll definitely be buying more in the future."
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"of course these are no energizer bunny batteries, but for the price and amount you get, you cant beat it! They come in individual packs of 4, inside a white box to keep them in. I would recommend it"
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"A good deal, well packed in reusable package"
AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,During my first recharging they were leaking and wrapping was coming off. A waste of money
AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,TERRIBLE! Barely lasted three hours during a digital camera shoot where Duracell lasts multiple days.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,I bought these batteries to use with a battery operated pump that transfers gas from a gas can into the tank of my riding mower. This is a far better way of fueling my mower than trying to lift a five gallon tank and trying to empty it into the mower tank. The pump uses 4 AA batteries and that is the way the Amazon batteries are packaged. Having them bundled in foursomes is convenient. My pump runs perfectly with these batteries.These batteries are said to have a shelf life of ten years so I won't be having to buy more AA batteries for at least that long. The price of these batteries is a genuine bargain and is it highly recommended to get this offer if AA batteries are needed.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Seem to work fone for a fraction of the price!
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Good price. Good product
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Great battery just as good as the name brands.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Great value
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Perfect and what a deal - very pleased!
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,The batteries works very well. Great quality. You can't beat the price
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,These batteries are as good or better than any brand of alkaline battery on the market today.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Great value!
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Greaatttt deal. This probably the only way I'll be buying batteries at a good price too.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Works just as well as any other battery brand we have bought!
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,A+A+A+A+A+ FAST DELIVERY JUST AS DESCRIBE
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Good price
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"They are batteries, they worked, enough said....."
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,A great deal for the price. Let's hope these alkaline last longer.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,These batteries are as good as other brands and a bargain to boot.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,AA batteries are replacements and have worked well so far
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,AA batteries worked as advertised.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Awesome buy. Very happy with these. This is my second order of these batteries. Will continue to purchase when needed.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,awesome so far no duds
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Came fast. Great price. Seems to last as long as expensive batteries.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"Good price, fast shipping, Will shop again."
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Good value. As good as Duracell
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Great Quality ...Excellant Price
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"High quality. great value, as advertised, trusted company.. Will definitely buy again and tell others.You will be pleased."
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,I bought this for a friend.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Never can have too many.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"So far I have had no complaints with these batteries. I was hesitate at first because they were cheaper than your big name brands. I figured they may not last long. But I was proven wrong. They have lasted just as long as the big name brands, and they are a lot cheaper. I buy these for work and for home. They do not disappoint me at either place."
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,These Amazon AA batteries are great. They are just as good as any high priced battery.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),4,"Yes, I'm using these and they are as good as any other battery."
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Good price and good product.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,I was very impressed with the packaging of these batteries. They work as well as any of the top commercial AA batteries. I will keep them handy for any future use.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Another great offer from Amazon that delivers perfarmance and price for your electronic agenda 1
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"These batteries are exactly what I was looking for. I was looking for affordable AA batteries with a long shelf life that I could keep around for an emergency or extended power outage. These Amazon alkaline batteries are advertised as having 10 years shelf life, and after receiving them I confirmed that on each battery is printed the expiration year 2025, which is what I expected having bought them in 2015.Now I won't have to by ordinary batteries that end up discharging internally in just a few years. The environment and my pocket are grateful. Thanks Amazon!"
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"Great deal, better than local stores"
AmazonBasics AAA Performance Alkaline Batteries (36 Count),4,Last just as long as other less expensive brands.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"I purchased these to compare against the Duracell's I normally buy. These appear to be an excellent value, but only time will tell. Currently I am using them along with the Duracell's in some fake candle lights that my wife has to see if they last as long as the Duracell's. So far so good."
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,These are really good batts and a great price.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,AA batteries worked perfectly out of the box!
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Works good so far. Time will tell the true story. Great price!
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,They are batteries...what can I say!
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"Excellent batteries and it's a better value than buying the batteries in smaller packs. Amazon's batteries are just as good as other manufacturers. With the subscribe and save, it's even a better deal."
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,So far the batch is worth it. The batteries are solid and work well. When they are on sale they are worth the buy.I recommend and would buy again.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),4,AA! Would buy again!
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,They work!
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,they work. good price. as expected
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,A wonderful way to purchase these.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,work great
AmazonBasics AAA Performance Alkaline Batteries (36 Count),4,"As advertised, I have not had any problems."
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,As expected. Like the box they came in.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),4,Good value for the money Will order again
